Campaign_Type,Target_Audience,Duration,Ad_Type,Conversion_Rate,Ad_Budget,Reach,Clicks,Impressions,Date
General,Women 35-44,60 days,YouTube,0.15,1117000,1142076,36896,983249,8/8/2021
General,Women 25-34,45 days,Website,0.03,903000,890600,34453,915942,2/20/2021
General,Women 25-34,45 days,Website,0.05,1617000,1077779,48853,727736,6/3/2021
General,All Ages,15 days,YouTube,0.09,1854000,952643,40651,976733,9/22/2021
General,Men 18-24,45 days,YouTube,0.13,1345000,896006,30763,950075,8/15/2021
General,Men 25-34,30 days,Facebook,0.05,1838000,1098780,40089,817903,5/31/2021
General,Men 18-24,60 days,YouTube,0.02,872000,957695,42904,752421,10/2/2021
General,Women 35-44,45 days,Website,0.03,1007000,965781,45244,983030,8/19/2021
General,Men 18-24,45 days,YouTube,0.1,1498000,828196,34982,897552,10/5/2021
General,All Ages,45 days,YouTube,0.07,1485000,931025,33541,805939,6/19/2021
General,All Ages,15 days,Website,0.03,2305000,1142091,35694,893173,9/10/2021
General,Women 25-34,15 days,Website,0.03,1269000,1082453,38518,910337,4/26/2021
General,Men 18-24,60 days,Instagram,0.07,1615000,822058,45125,789165,3/3/2021
General,Men 25-34,60 days,Instagram,0.06,1807000,931218,46158,934068,8/26/2021
General,All Ages,45 days,Instagram,0.09,1822000,1039691,31148,777900,3/7/2021
General,Men 25-34,30 days,Instagram,0.02,1105000,868841,34823,829240,5/29/2021
General,Men 25-34,60 days,Daraz,0.08,1249000,923696,36603,700322,9/27/2021
General,Men 25-34,15 days,Google Ads,0.1,2035000,899614,39701,726351,4/15/2021
General,Men 18-24,45 days,Daraz,0.06,2593000,933937,34915,766022,3/1/2021
General,Women 25-34,15 days,YouTube,0.15,3178000,1114480,36866,849962,5/10/2021
General,Women 25-34,30 days,YouTube,0.09,2318000,1141572,32703,753018,10/30/2021
General,Men 18-24,45 days,YouTube,0.13,2005000,979758,37772,819265,8/18/2021
General,Men 18-24,60 days,Facebook,0.05,1265000,1154871,42902,771697,12/5/2021
General,Women 25-34,15 days,YouTube,0.05,2971000,971280,32196,887305,1/7/2021
General,Men 18-24,60 days,Daraz,0.12,1911000,1001660,41480,912460,1/5/2021
General,Men 25-34,15 days,Daraz,0.03,3040000,885840,40623,924662,9/2/2021
General,All Ages,45 days,Daraz,0.09,2256000,1031300,30946,884607,10/10/2021
General,Women 25-34,30 days,Daraz,0.08,1164000,1015182,48310,829390,12/21/2021
General,Men 18-24,15 days,Daraz,0.09,1198000,946135,37985,769376,2/17/2021
