ID,product_type,size,text,rating
1,Multi-purpose ladder,12ft,This is great. Daraz kept the connection until I receive the ladder. Later they called again to make sure the delivery is ok. Super packaging. Super product. 🤍,5
2,Multi-purpose ladder,12ft,Good Quality.You don't say anything to say good loke ah hodata Wada can break a number of innings in the ladder,5
3,Multi-purpose ladder,12ft,Good quality and recommended,5
4,Multi-purpose ladder,12ft,Good condition and quick service,5
5,Multi-purpose ladder,12ft,"Thanks Daraz, product was deliverd on time with safe packing. Its a good priduct. I am happy and satisfied. Strong and correct weight is there. Invoice, waranty card and user instruction recived with product. But no details filled in warranty card,its blank. attched here for your referance. Its not a good practice. Request to not to do it, if you want to increase your sales. Its should done for your customers satisfaction. To give comment about User friendlyness and durability, need little time. Any way overall, its a quality product.",5
6,Multi-purpose ladder,12ft,Can you please tell me how I could get the warranty card for this,5
7,Multi-purpose ladder,12ft,Thank you daraz ,5
8,Multi-purpose ladder,12ft,If the innings are known.Heavy than thought.Came quickly.It's worth a goal.But the responsibilities are not sent.Never will be reply in any Message.That's the problem.,5
9,Multi-purpose ladder,12ft,Looks like very durable. I'm 100% satisfied with my purchase. Highly recommended the Product & also the seller.,5
10,Multi-purpose ladder,12ft,"Item arrived well packed and well built, with quick delivery. First time using a multi purpose ladder and had a positive experience.",5
11,Multi-purpose ladder,12ft,A product at the highest fair value for the price paid. It is a sturdy ladder with a superior finish.,5
12,Multi-purpose ladder,12ft,Excellent build quality. All locks are working as it is. Really satisfied with the purchase 🙂. ,5
13,Multi-purpose ladder,12ft,very good don't think twice very strong #win#,5
14,Multi-purpose ladder,12ft,Genuine product. Came on time. Fast shipping. Highly Recommend! ,5
15,Multi-purpose ladder,12ft,Good quality product. Thanks you sellar and Daraz!,5
16,Multi-purpose ladder,12ft,Product same as described. Quality is very good. Delivered within 7 days.,5
17,Multi-purpose ladder,12ft,Recently delivered. A Good product for home use. Really Satisfied..,5
18,Multi-purpose ladder,12ft,recommended... heavy-duty...,5
19,Multi-purpose ladder,12ft,Top quality strong durable ladder. value for money . 👍👍👍,5
20,Multi-purpose ladder,12ft,Good packing.. solid item.. ,5
21,Multi-purpose ladder,12ft,"Good product, heavier than expected",5
22,Multi-purpose ladder,12ft,"good product , but i didn't receive invoice ",5
23,Multi-purpose ladder,12ft,Good quality. Speed delivery.,5
24,Multi-purpose ladder,12ft,Excellent product but the delivery was so late. It's the courier's fault.,5
25,Multi-purpose ladder,12ft,It's very useful..,5
26,Multi-purpose ladder,12ft,Best ladder. Good product,5
27,Multi-purpose ladder,12ft,Good product ❤️ ,5
28,Multi-purpose ladder,12ft,Solid product. I'm happy with the purchase.,5
29,Multi-purpose ladder,12ft,Good product ,5
30,Multi-purpose ladder,12ft,supper,5
31,Multi-purpose ladder,12ft,"Good product, stands safe on the ground, solid material. Joints are slighly oiled. Seller sent quickly, but Daraz deliveryservice needed eternities to bring it here. My recommendation, you cant go wrong buying this ladder.",5
32,Multi-purpose ladder,12ft,This product should be there in every house ❤️🔥,5
33,Multi-purpose ladder,12ft,Good quality ladder. Worth the price!,4
34,Multi-purpose ladder,12ft,super quality product as usual ,5
