ID,product_type,size,text,rating,sentiment
1,Multi-purpose ladder,12ft,great daraz kept connection receive ladder later called make sure delivery ok super packaging super product,5,1
2,Multi-purpose ladder,12ft,good qualityyou dont say anything say good loke ah hodata wada break number innings ladder,5,1
3,Multi-purpose ladder,12ft,good quality recommended,5,1
4,Multi-purpose ladder,12ft,good condition quick service,5,1
5,Multi-purpose ladder,12ft,thanks daraz product deliverd time safe packing good priduct happy satisfied strong correct weight invoice waranty card user instruction recived product details filled warranty cardits blank attched referance good practice request want increase sales done customers satisfaction give comment user friendlyness durability need little time way overall quality product,5,1
6,Multi-purpose ladder,12ft,please tell could get warranty card,5,1
7,Multi-purpose ladder,12ft,thank daraz,5,1
8,Multi-purpose ladder,12ft,innings knownheavy thoughtcame quicklyits worth goalbut responsibilities sentnever reply messagethats problem,5,-1
9,Multi-purpose ladder,12ft,looks like durable im satisfied purchase highly recommended product also seller,5,1
10,Multi-purpose ladder,12ft,item arrived well packed well built quick delivery first time using multi purpose ladder positive experience,5,1
11,Multi-purpose ladder,12ft,product highest fair value price paid sturdy ladder superior finish,5,1
12,Multi-purpose ladder,12ft,excellent build quality locks working really satisfied purchase,5,1
13,Multi-purpose ladder,12ft,good dont think twice strong win,5,1
14,Multi-purpose ladder,12ft,genuine product came time fast shipping highly recommend,5,1
15,Multi-purpose ladder,12ft,good quality product thanks sellar daraz,5,1
16,Multi-purpose ladder,12ft,product described quality good delivered within days,5,1
17,Multi-purpose ladder,12ft,recently delivered good product home use really satisfied,5,1
18,Multi-purpose ladder,12ft,recommended heavyduty,5,1
19,Multi-purpose ladder,12ft,top quality strong durable ladder value money,5,1
20,Multi-purpose ladder,12ft,good packing solid item,5,1
21,Multi-purpose ladder,12ft,good product heavier expected,5,1
22,Multi-purpose ladder,12ft,good product didnt receive invoice,5,1
23,Multi-purpose ladder,12ft,good quality speed delivery,5,1
24,Multi-purpose ladder,12ft,excellent product delivery late couriers fault,5,1
25,Multi-purpose ladder,12ft,useful,5,1
26,Multi-purpose ladder,12ft,best ladder good product,5,1
27,Multi-purpose ladder,12ft,good product,5,1
28,Multi-purpose ladder,12ft,solid product im happy purchase,5,1
29,Multi-purpose ladder,12ft,good product,5,1
30,Multi-purpose ladder,12ft,supper,5,0
31,Multi-purpose ladder,12ft,good product stands safe ground solid material joints slighly oiled seller sent quickly daraz deliveryservice needed eternities bring recommendation cant go wrong buying ladder,5,1
32,Multi-purpose ladder,12ft,product every house,5,0
33,Multi-purpose ladder,12ft,good quality ladder worth price,4,1
34,Multi-purpose ladder,12ft,super quality product usual,5,1
35,Multi-purpose ladder,12ft,good product,5,1
36,Multi-purpose ladder,12ft,good quality strong product happy daraz service,5,1
37,Multi-purpose ladder,12ft,great product wrapped well thank,5,1
38,Multi-purpose ladder,12ft,highly recommended ladder thank swisstech,5,1
39,Multi-purpose ladder,12ft,great service item delivered days,5,1
40,Multi-purpose ladder,12ft,good product recommended,5,1
41,Multi-purpose ladder,12ft,worth money,4,1
42,Multi-purpose ladder,12ft,sturdy ladder well packed delivered fast,5,1
43,Multi-purpose ladder,12ft,product okay delivery took days within greater colombo work delivery service,1,1
44,Multi-purpose ladder,12ft,handy apartments space limited bit heavy takes time getting used happy overall good quality,5,1
45,Multi-purpose ladder,12ft,excellent utility good build quality useful handy many different situations good proper fitting plank included stand used arch position even additional cost,5,1
46,Multi-purpose ladder,12ft,locks tight got hand injured well spoke swisstek send replacement technician,5,1
47,Multi-purpose ladder,12ft,excellent productit worths every rupee spenti weight aroung kg handle without blinkrecommend anyone,5,1
48,Multi-purpose ladder,12ft,really good useful item home delivery excellentreceived item within days order bad thing seller didnt gave invoiceother positive feedbackslooking forward shop,5,0
49,Multi-purpose ladder,12ft,fast delivery good packaging damages received warranty card well bit heavy strong structure,5,1
50,Multi-purpose ladder,12ft,good product seller didnt send invoice warranty card product contacted chat say product good quality need warranty card keep order date mind professional seller,3,1
51,Multi-purpose ladder,12ft,item received product according description sad thing price reduced later,5,-1
52,Multi-purpose ladder,12ft,perfect good customer service,5,1
53,Multi-purpose ladder,12ft,fast delivery havent used yet,5,0
54,Multi-purpose ladder,12ft,super customer service thank,5,1
55,Multi-purpose ladder,12ft,good product best price,5,1
