Billing Date,Net Weight,Sales Region,Invoice Value,Material Code,Size,QTY(EA)
2023-02-08,0.010106,EX,71.5,FAML0504N000N2000,Multy Purpose Ladder,1
2022-09-22,0.00557,R2,10732.17,FASL3000M001L0700,STEP LADDER,1
2022-09-22,0.004849999999999999,R2,9202.18,FASL3000M001L0600,STEP LADDER,1
2022-09-22,0.00785,R2,15373.92,FASL2000M001N0800,STEP LADDER,1
2022-10-16,0.004849999999999999,R2,9202.18,FASL3000M001L0600,STEP LADDER,1
2022-10-20,0.004849999999999999,R2,9202.18,FASL3000M001L0600,STEP LADDER,1
2023-01-15,0.00557,R2,10966.48,FASL3000M001L0700,STEP LADDER,1
2023-02-07,0.00395,R2,7854.74,FASL3000M001L0500,STEP LADDER,1
2022-10-03,0.01671,R2,32196.53,FASL3000M001L0700,STEP LADDER,3
2022-10-03,0.009699999999999999,R2,18404.35,FASL3000M001L0600,STEP LADDER,2
2022-10-10,0.00557,R2,10732.18,FASL3000M001L0700,STEP LADDER,1
2022-10-10,0.00785,R2,15373.92,FASL2000M001N0800,STEP LADDER,1
2022-12-24,0.00557,R2,10966.48,FASL3000M001L0700,STEP LADDER,1
2022-06-16,0.00785,R2,16700.0,FASL2000M001N0800,STEP LADDER,1
2022-09-11,0.004849999999999999,R2,9202.18,FASL3000M001L0600,STEP LADDER,1
2023-03-09,0.004849999999999999,R2,9403.22,FASL3000M001L0600,STEP LADDER,1
2022-09-07,0.00557,R2,10814.73,FASL3000M001L0700,STEP LADDER,1
2022-10-11,0.00557,R1,8838.26,FASL3000M001L0700,STEP LADDER,1
2022-10-12,0.00319,R1,5052.17,FASL3000M001L0400,STEP LADDER,1
2022-11-25,0.00557,R1,9031.22,FASL3000M001L0700,STEP LADDER,1
2022-12-29,0.00894,R1,14554.52,FASL2000M001N0900,STEP LADDER,1
2022-04-30,0.00395,R1,4918.98,FASL3000M001L0500,STEP LADDER,1
2022-12-29,0.00557,R2,9031.22,FASL3000M001L0700,STEP LADDER,1
2022-04-30,0.00395,R2,5497.69,FASL3000M001L0500,STEP LADDER,1
2022-05-09,0.00557,R2,7696.76,FASL3000M001L0700,STEP LADDER,1
2022-09-28,0.00395,R2,7686.96,FASL3000M001L0500,STEP LADDER,1
2022-10-06,0.00319,R2,6134.78,FASL3000M001L0400,STEP LADDER,1
2022-10-11,0.00785,R2,15373.92,FASL2000M001N0800,STEP LADDER,1
2022-12-02,0.00319,R2,6268.56,FASL3000M001L0400,STEP LADDER,1
2022-12-28,0.00557,R2,10966.48,FASL3000M001L0700,STEP LADDER,1
2023-01-07,0.00395,R2,7854.74,FASL3000M001L0500,STEP LADDER,1
2023-01-18,0.00557,R2,10966.48,FASL3000M001L0700,STEP LADDER,1
2023-02-07,0.00785,R2,15709.48,FASL2000M001N0800,STEP LADDER,1
2023-02-20,0.00557,R2,10966.48,FASL3000M001L0700,STEP LADDER,1
2022-07-25,0.00557,R2,12087.05,FASL3000M001L0700,STEP LADDER,1
2022-07-25,0.00785,R2,16700.0,FASL2000M001N0800,STEP LADDER,1
2022-08-12,0.00785,R2,16700.0,FASL2000M001N0800,STEP LADDER,1
