Year,Month,Sales Revenue - Physical,Sales Quatity - Physical,Online visitors,Page Views,Sales Revenue - Online,Sales Quantity - Online,Conversion,Ad Type,Reach,Impressions,Clicks,Influencer Campaign Reach,Ad Budget,Campaign,Campaign Type,Discount
2022,April,2445749.03,214,13697,34620,5198870.00,456,3.24%,"Daraz, Facebook, Instagram",1417275,6856530,49834,0,370300.00,No,No ,0%
2022,May,11088040.83,636,10408,28796,6387805.00,379,3.63%,"Daraz, Facebook, Instagram",1460995,8368560,88065,0,449650.00,Yes,Mega,50%
2022,June,8652693.61,596,8609,18496,1470156.00,75,0.87%,"Daraz, Facebook, Instagram",1238333,4783790,52462,0,440738.00,Yes,Mega,50%
2022,July,6877586.50,409,15960,46465,2708146.00,124,0.76%,"Daraz, Facebook, Instagram",1837750,8474826,53224,0,467785.00,No,No ,0%
2022,August,2476605.07,179,10492,21692,2259632.00,84,0.79%,"Daraz, Facebook, Instagram",691518,3718067,70823,0,468500.00,No,No ,0%
2022,September,11853049.67,967,14342,32262,4593516.00,288,1.71%,"Daraz, Facebook, Instagram",502402,3014694,25504,0,379270.00,Yes,General,35%
2022,October,5759712.37,334,13167,29799,3536147.00,216,1.44%,"Daraz, Facebook, Instagram",589165,3539213,27771,0,423837.00,Yes,General,35%
2022,November,12831055.37,678,23582,66166,10594939.00,639,2.62%,"Daraz, Facebook, Instagram",464386,2398067,33620,0,438150.00,Yes,Mega,60%
2022,December,6175779.91,384,17181,41029,7258280.00,459,2.11%,"Daraz, Facebook, Instagram",490753,2443687,32612,0,365657.00,Yes,Mega,50%
2023,January,9918891.53,508,17258,36493,3106827.00,179,1.04%,"Daraz, Facebook, Instagram",356257,2789210,71802,0,396750.00,Yes,General,35%
2023,February,3820612.24,226,15782,31824,2126032.00,135,0.86%,"Daraz, Facebook, Instagram",494528,2325135,29117,0,396750.00,No,No ,0%
2023,March,3183852.87,216,9300,21625,1512879.00,117,1.30%,"Daraz, Facebook, Instagram",432897,2354142,31063,0,364356.00,No,No ,0%
2023,April,4176367.38,396,6868,17095,1367169.00,104,1.28%,N/A,N/A,N/A,N/A,N/A,N/A,No,No ,0%
2023,May,8474630.40,745,16460,43766,3300526.00,236,1.36%,"Daraz, Facebook, Instagram",355520,1939391,95121,0,396750.00,No,No ,0%
2023,June,3781854.59,370,18607,42900,1882026.00,147,0.73%,"Daraz, Facebook, Instagram",0.0073,2383828,52871,0,396750.00,No,No ,0%
2023,July,4814148.71,422,16716,38828,1892581.00,136,0.81%,"Daraz, Facebook, Instagram",781574,2218760,36523,0,395684.00,No,No ,0%
2023,August,3820735.12,340,11592,27085,1874683.00,124,0.95%,"Daraz, Facebook, Instagram",160323,539032,15494,0,360000.00,No,No ,0%
2023,September,5860855.61,540,10500,25195,1950328.00,140,1.22%,"Daraz, Facebook, Instagram",221015,748847,19566,0,154208.00,No,No ,0%
2023,October,5459392.14,446,15278,33743,1422883.00,95,0.61%,"Daraz, Facebook, Instagram",209343,529885,5319,0,103000.00,Yes,General,35%
2023,November,11078742.54,810,36856,89596,9193415.00,617,1.58%,"Daraz, Facebook, Instagram",883690,1508266,14790,2113977,573333.00,Yes,Influencer,50%
2023,December,10337237.84,986,43980,90495,5374869.00,391,0.80%,"Daraz, Facebook, Instagram",810214,2322878,21160,2289205,470000.00,Yes,Influencer,50%
2024,January,7468986.04,611,15789,34078,2128711.00,153,0.89%,"Daraz, Facebook, Instagram",1033141,3700135,40687,0,173280.00,No,No ,0%
2024,February,9160692.65,697,21503,42146,2267794.00,195,0.89%,"Daraz, Facebook, Instagram",868620,2542074,28243,0,149000.00,No,No ,0%
2024,March,8902356.22,769,31240,57348,3122902.00,234,0.62%,"Daraz, Facebook, Instagram",820282,896626,35201,0,177620.00,No,No ,0%
2024,April,4912927.61,409,8807,21639,2831089.00,202,2.12%,"Daraz, Facebook, Instagram",738946,2311376,31697,0,190000.00,No,No ,0%
2024,May,6667697.39,601,8719,22015,2875495.00,228,2.26%,"Daraz, Facebook, Instagram",1971117,4611483,38892,0,235897.00,No,No ,0%
2024,June,7507286.49,583,22285,43677,1782328.00,136,0.57%,"Daraz, Facebook, Instagram",986787,2754584,73715,0,200000.00,No,No ,0%
2024,July,10529899.87,985,4421,12686,1628826.00,117,2.33%,"Daraz, Facebook, Instagram",N/A,N/A,N/A,0,N/A,No,No ,0%
2024,August,10195499.69,869,4166,14286,1892674.00,148,3.24%,"Daraz, Facebook, Instagram",N/A,N/A,N/A,0,N/A,No,No ,0%
2024,September,8759170.72,691,3336,12080,1809218.00,144,3.87%,"Daraz, Facebook, Instagram",N/A,N/A,N/A,0,N/A,No,No ,0%
2024,October,5442266.54,519,3954,14481,2076021.00,165,N/A,"Daraz, Facebook, Instagram",N/A,N/A,N/A,824513,450000.00,No,Influencer,0%
2024,November,6809198.10,644,10608,39520,5371941.00,445,N/A,"Daraz, Facebook, Instagram",N/A,N/A,N/A,179144,497000.00,No,Influencer,0%
2024,December,8451405.74,522,5179,17415,1447855.00,146,N/A,"Daraz, Facebook, Instagram",N/A,N/A,N/A,0,N/A,No,No ,0%
